material no.,description,bin no.,val.stock,max.price,value,uom,storage loc
----,,,,,,,
32721,MECH.TOOL ASSY DIFFERENTIAL WORKING BAS,,0,,0,NOS,1060
203000001,L/T Rubber pad CB/LTSP/S-1,,0,,0,NOS,1060
203000002,L/T Rubber pad CB/LTSP/S-2,,0,,0,NOS,1060
203000004,L/T Rubber pad CB/LTSP/S-4,,0,,0,NOS,1060
203000005,L/T Rubber pad CB/LTSP/S-5,,0,,0,NOS,1060
203000006,L/T Rubber pad CB/LTSP/S-6,,0,,0,NOS,1060
203000007,L/T Rubber pad CB/LTSP/S-7,,0,,0,NOS,1060
203000008,L/T Rubber pad CB/LTSP/S-8,,0,,0,NOS,1060
203000009,L/T Rubber pad CB/LTSP/S-9,,0,,0,NOS,1060
203000010,L/T Rubber pad CB/LTSP/S-10,,0,,0,NOS,1060
203000012,L/T Rubber pad CB/LTSP/S-12,,0,,0,NOS,1060
203000013,L/T Rubber pad CB/LTSP/S-13,,0,,0,NOS,1060
203000014,L/T Rubber pad CB/LTSP/S-14,,0,,0,NOS,1060
203000015,L/T Rubber pad CB/LTSP/S-15,,0,,0,NOS,1060
203000016,L/T Rubber pad CB/LTSP/S-16,,0,,0,NOS,1060
203000017,L/T Rubber pad CB/LTSP/S-17,,0,,0,NOS,1060
203000018,L/T Rubber pad CB/LTSP/S-18,,0,,0,NOS,1060
203000019,L/T Rubber pad CB/LTSP/S-19,,0,,0,NOS,1060
203000020,L/T Rubber pad CB/LTSP/S-20,,0,,0,NOS,1060
203000021,L/T Rubber pad CB/LTSP/S-21,,0,,0,NOS,1060
203000022,L/T Rubber pad CB/LTSP/S-22,,0,,0,NOS,1060
203000023,L/T Rubber pad CB/LTSP/S-23,,0,,0,NOS,1060
203000024,L/T Rubber pad CB/LTSP/S-24,,0,,0,NOS,1060
203000025,L/T Rubber pad CB/LTSP/S-25,,0,,0,NOS,1060
203000026,L/T Rubber pad CB/LTSP/S-26,,0,,0,NOS,1060
203000027,L/T Rubber pad CB/LTSP/S-27,,0,,0,NOS,1060
203000028,L/T Rubber pad CB/LTSP/S-28,,0,,0,NOS,1060
203000029,L/T Rubber pad CB/LTSP/S-29,,0,,0,NOS,1060
203000031,L/T Rubber pad CB/LTSP/S-31,,0,,0,NOS,1060
203000032,L/T Rubber pad CB/LTSP/S-32,,0,,0,NOS,1060
203000034,L/T Rubber pad CB/LTSP/S-34,,0,,0,NOS,1060
10506-N,507047 HARD DISK WITH SOFTWARE,,0,,0,NOS,1060
10507-N,4761054 TESPA SWITCHING ADAPTOR,,0,,0,NOS,1060
11994-N,BOTTOM ARMATURE PLATE,,0,,0,NOS,1060
11996-N,"0.25T CHAIN HOIST ST1005-8/2, 1/1 STAHL",,1,,"167,230.12",NOS,1060
11998-N,5125036249 CROSS TRAVEL DRIVE SUA144311,,1,,"82,562.13",NOS,1060
153303,MECH.TOOL MASTER VAC SHELL INSTALLER,,0,,0,NOS,1060
18526,HOLDER 4-HD30146-2,,1,,"13,201.00",NOS,1060
2152769,SPACER,,0,,0,NOS,1060
4200100000,67681900 GG-MT 5156 1/8 28 OSG THRU COO,,0,,0,NOS,1060
5200021301,"DIAMOND STONE D213-55-113-50,4X8X100X2",,0,,0,NOS,1060
5200030000,DIMOND STONE-D30-55.814-035,,0,,0,NOS,1060
5200030100,"DIAMOND STONE D301-SP-112-50,4X6X100X2",,0,,0,NOS,1060
6100560000,S C DRILL DIA 12 R480-1200-50-A1A 1220,,0,,0,NOS,1060
6100570000,"SC END MILL 25MM, R216.34-25030-BC45 N",,0,,0,NOS,1060
6100620000,INSERT R390-180608 M-KM 3040,,0,,0,NOS,1060
6100640000,INSERT SCMT 09T304,,0,,0,NOS,1060
6100650000,INSERT TCMT 110308,,0,,0,NOS,1060
6100670000,GUN DRILL DIA 18 X 405 OAL,,0,,0,NOS,1060
6100690000,SPECTRA  REAMER DIA 28 H7,,0,,0,NOS,1060
6100710000,SPECTRA  REAMER DIA 32 H7,,0,,0,NOS,1060
6100720000,SPECTRA  REAMER DIA 40 H7,,0,,0,NOS,1060
6100730000,GR.WHEEL 513 A -100- 3.0/1.5-3-D76 - C0,,0,,0,NOS,1060
6100760000,INSERT THMF-27124012 FOR M76 CUTTER,,0,,0,NOS,1060
6100770000,INSERT APKT 1705 PER-EM TT 6030,,0,,0,NOS,1060
6101200000,Collet ER 32-06,,0,,0,NOS,1060
6102400000,ISO 50 Adaptor for Milling cutter,,0,,0,NOS,1060
6102500000,INSERT SNGN 090312 CBN,,0,,0,NOS,1060
6102600000,INSERT CBN SP - 11851 -51FU801,,0,,0,NOS,1060
6102700000,INSERT CCGW060204T01030FWH,,0,,0,NOS,1060
6102800000,INSERT R390-180620H-KL 3040,,0,,0,NOS,1060
6103100000,Silicon Carbide Stick Tyrolit,,0,,0,NOS,1060
6107819343,INSERT SCREW 21480072 FOR M660 CUTTER,,0,,0,NOS,1060
6108210670,SC DRILL 16 X 150 OAL M17062,,0,,0,NOS,1060
6108519206,NT Collet MC42-25,,0,,0,NOS,1060
6108910670,CARTIDGE R437 9 1214 11,,0,,0,NOS,1060
6109010670,INSERT SCREW 5513 02-03,,0,,0,NOS,1060
6109110139,DIA 27.7 X 29 INDEXABLE,,0,,0,NOS,1060
6109219343,INSERT SCREW 214 80 388,,0,,0,NOS,1060
6109319343,INSERT SCREW 214 80 687,,0,,0,NOS,1060
6109510670,SC DRILL 8.8 MM R840-0880-50 A1A 1220,,0,,0,NOS,1060
6110119343,DRILL DIA 22,,0,,0,NOS,1060
6110544500,DIA 44.5 INTM.,,0,,0,NOS,1060
6110619343,GUN DRILL DIA 12 X 405 OAL,,0,,0,NOS,1060
6110919343,INSERT R-365-1505ZNE-KM  K20D,,0,,0,NOS,1060
6111910670,INSERT LCMX 020204,,0,,0,NOS,1060
6112110670,INSERT TPGN 160304,,0,,0,NOS,1060
6112210670,DIA17.5X21 INDEXABLE DRILL,,0,,0,NOS,1060
6112310670,INSERT SDNT 09T308 SR-31 SR216,,0,,0,NOS,1060
6112419343,STD.CARTRIDGE STTCR 10 CA 11,,0,,0,NOS,1060
6112619343,GUN DRILL DIA12X490 OAL (HCV),,0,,0,NOS,1060
6112719343,GUN DRILL DIA18X490 OAL (HCV),,0,,0,NOS,1060
6113319343,CHAMFER BODY  - DIA 8.5,,0,,0,NOS,1060
6113419343,DIA 10.3 SC DRILL SEFAS B343S10300HPG,,0,,0,NOS,1060
6113810670,INSERT TCMT 090204,,0,,0,NOS,1060
6113910670,DIA 14.5X17X40 COMB TOOL,,0,,0,NOS,1060
6114010670,DIA 32 COMB BORING BAR,,0,,0,NOS,1060
6114110670,MICRO BORE L148C-110602,,0,,0,NOS,1060
6114219343,GUN DRILL DIA 6X250 OAL,,0,,0,NOS,1060
6114419343,INSERT-SPMX090304AP,,0,,0,NOS,1060
6114519343,REAMER DIA12,,0,,0,NOS,1060
6115419343,INSERT CTXW 09T304 F01LD,,0,,0,NOS,1060
