Sr. No.,Machine,Material Description,Make,Qty used,Remark,Item Code,Available Stock in SAP as on 28.11.2022,On Order Stock as on 28.11.22,Remark,Order status
1,Brake Bleeding ,"TP177B PN/DP-6 CSTN, 1P 6AV66420BA011AX1",Siemens,1,HMI,6945,0,0,,
2,Brake Bleeding ,"PM-E ST, 6ES7 138-4CA01-0AA0",Siemens,4,,11032,3,3,,
3,Brake Bleeding ,"1 Count, 6ES7 138-4DA04-0AB0",Siemens,1,,,,,,
4,Brake Bleeding ,"1SI, 3964/ASCII, 6ES7 138-4DF01-0AB0",Siemens,3,,11791,1,1,,
5,Brake Bleeding ,"4 DI, 6ES7 131-4BD01-0AA0",Siemens,12,,13436,5,5,,
6,Brake Bleeding ,"8 DI, 6ES7 131-4BF00-0AA0",Siemens,2,,11786,1,1,,
7,Brake Bleeding ,"4 DO, 6ES7 132-4BD02-0AA0 ",Siemens,5,,13438,3,3,,
8,Brake Bleeding ,"8 DO, 6ES7 132-4BF00-0AA0",Siemens,3,,11787,4,4,,
9,Brake Bleeding ,"MOD 1,5-24/5, Art No. 85 657",MURR ELEKTRONIK,1,,,,,,
10,Brake Bleeding ,"PN0Z X2.7P, 24vAC/DC",Pilz,1,,,,,,
11,Brake Bleeding ,"DC 24v/20Amp, 6EP1 436-3BA10 06B3",Siemens,1,SMPS,,,,,
12,Brake Bleeding ,"Primary 200/550v, Secondary 2*115v, 2*8.7Amp, Art No. 168-0125",SBA ETKU,1,Transformer ,,,,,
13,Brake Bleeding ,"Burkert 2/2-way valve Type 2000, Part No. 162591",Burkert,5,,11611,1,1,,
14,Brake Bleeding ,"LIQUIPHANT T, FTL20-0120, DC PNP",Endress+Hauser,1,,,,,,
15,Brake Bleeding ,CPE14-M1BH-5/S-1/8 196940 B302 SOL VALVE,FESTO,1,,12013,1,1,,
16,Brake Bleeding ,"MPPE-3-1/4-10-420-B, 161171, B472",FESTO,1,,12014,1,1,,
17,Brake Bleeding ,"PEV-1/4-B-OD, 175250, C943",FESTO,1,,12008,1,1,,
18,Brake Bleeding ,VBA10A-F02,SMC,1,Booster ,11500,2,2,,
19,Brake Bleeding ,Burkert 3/2-way-solenoid valve Part No. 247686,Burkert,2,,,,,,
20,Brake Bleeding ,"Burkert KOMP Component, Part No. ID 632224",Burkert,2,,11990,1,1,,
21,Brake Bleeding ,"Burkert KOMP Component, Part No. ID 71194",Burkert,1,,11991,1,1,,
22,Brake Bleeding ,"222338, S.N. 1027",Burkert,1,,,,,,
23,Brake Bleeding ,"Burkert 2/2-way angle-seat valve ID 178684
( 1130 is phased out and substitute shall be 178684 )
",Burkert,1,,11612,1,1,,
24,Brake Bleeding ,"PTX 610, 250m Bar ABS, Supply 9-30 vDC, O/P 4-20 mAmp, S.N. 4070916, M0119646.01",DRUCK,1,Pressure Transmitter (Schenck Rotec),11646,0,0,,
25,Brake Bleeding ,"Burkert 2/2-way solenoid, Part No. 122865",Burkert,1,,11988,1,1,,
26,Brake Bleeding ,"Efector, 45128, Essen, LK 8123",IFM Electronic,1,,,,,,
27,Brake Bleeding ,"VC 0,2 E1 PS, 318443/30-1E-11",KRACHT,1,,,,,,
28,Brake Bleeding ,Burkert EPRO Part No. 784121,Burkert,2,,,,,,
29,Brake Bleeding ,"0313252, 100bar, D-code, B1102",NORGREN,3,,,,,,
30,Brake Bleeding ,"TRIVAC, D16B DOT",Oerlikon,1,Vacuum Pump,,,,,
31,Brake Bleeding ,"K21R, 80 K4/4764, 50Hz, 0.55kw, 1.6Amp",VEM,1,Motor,,,,,
32,Brake Bleeding ,"Burkert 2/2-way solenoid, Part No. 122804",Burkert,1,,11989,1,1,,
33,Brake Bleeding ,"parflex, 540 N-8, WP 14,0 Mpa <2000 PSI>, SAE100R7, DN12, Q1/13KI2A22",Parker,2,Hose pipe,,,,,
34,Brake Bleeding ,"533347, B502",FESTO,5,,12006,1,1,,
